14:16:46,264 ,2983.21 ,2747.71 ,2945.08 ,2956.78
14:16:46,268 ,2983.30 ,2747.74 ,2945.13 ,2956.81
14:16:46,272 ,2983.33 ,2747.75 ,2945.14 ,2956.83
14:16:46,276 ,2983.30 ,2747.85 ,2945.18 ,2956.82
14:16:47,280 ,2983.36 ,2747.94 ,2945.28 ,2956.92
14:16:47,284 ,2983.35 ,2747.87 ,2945.25 ,2956.95
14:16:47,288 ,2983.46 ,2747.96 ,2945.22 ,2956.96
14:16:47,292 ,2983.46 ,2748.00 ,2945.30 ,2957.02
14:16:47,296 ,2983.52 ,2747.97 ,2945.38 ,2957.02
14:16:47,300 ,2983.54 ,2748.03 ,2945.42 ,2957.09
14:16:48,304 ,2983.55 ,2748.11 ,2945.41 ,2957.11
14:16:48,308 ,2983.60 ,2748.07 ,2945.43 ,2957.14
14:16:48,312 ,2983.65 ,2748.08 ,2945.48 ,2957.09
14:16:48,316 ,2983.67 ,2748.09 ,2945.44 ,2957.18
14:16:48,320 ,2983.65 ,2748.15 ,2945.55 ,2957.26
14:16:48,324 ,2983.67 ,2748.20 ,2945.58 ,2957.20
14:16:49,328 ,2983.70 ,2748.27 ,2945.63 ,2957.25
14:16:49,332 ,2983.79 ,2748.26 ,2945.64 ,2957.31
14:16:49,336 ,2983.81 ,2748.30 ,2945.64 ,2957.34
14:16:49,340 ,2983.84 ,2748.33 ,2945.69 ,2957.34
